"4","El ejército nigeriano ha localizado a las casi 300 niñas que fueron secuestradas por extremistas islámicos, dijo el lunes el jefe de las fuerzas armadas del país, quien agregó que no pueden usar la fuerza para liberarlas pues esto podría llevar a su muerte.show enclosure(image/jpeg; 0.04 MB)   ABUYA -- El ejercito nigeriano ha localizado a las casi 300 ninas que    fueron secuestradas por extremistas islamicos, dijo el lunes el jefe de    las fuerzas armadas del pais, quien agrego que no pueden..."
"5","The April figures beat market forecasts and offered some positive signals for the world?s second-largest economy after a weak start to 2014.   BEIJING -- China s exports and imports returned to slight growth last    month as orders to the United States and the European Union surged,    offering some positive signals after a weaker-than-expected start to    2014.     Analysts said the trade picture was better in April than the data    released Thursday suggested, because export figures last year..."
"7","El presidente sudanés, Omar Hasan al Bashir, reiteró hoy su llamamiento a la celebración de un..."
"13","La Presidenta encabezará el acto inaugural del `Encuentro Federal de la Palabra`; la transmisión comenzará a las 18.30   lanacion.com | Las noticias que importan y los temas que interesan           Cristina Kirchner hablara en cadena nacional desde Tecnopolis     La Presidenta encabezara el acto inaugural del `Encuentro Federal de la    Palabra`; la transmision comenzara a las 18.30     El acto contara con la presencia del gobernador de la provincia de    Buenos Aires, Daniel Scioli, integrante..."
"14","Jonathan dos Santos  MÉXICO (Notimex).- El mediocampista mexicano Jonathan dos Santos fue recibido en medio de aplausos en el entrenamiento del Barcelona, en su regreso a las prácticas con el club tras su lesión del ligamento cruzado anterior de la rodilla derecha. Luego de seis meses sin entrenar con el grupo, el ?azteca? se reincorporó con el primer equipo que prepara el duelo de la penúltima jornada de la Liga de España ante Elche, el domingo en el estadio Manuel Martínez Valero. Dos Santos..."
"15","México.- Efectivos de la Unidad Especializada Contra el Secuestro desmembraron una banda dedicada al secuestro y liberaron a una menor plagiada.  La niña, de siete meses de edad, fue...   Tags: seguridad, secuestro, rescate, policia, nina,    mexico, guanajuato, familia, celaya, bebe    Mexico.- Efectivos de la Unidad Especializada Contra el Secuestro    desmembraron una banda dedicada al secuestro y liberaron a una menor    plagiada.    La nina, de siete meses de edad, fue recuperada ilesa en ..."
"16","Tras la reciente salida del Samsung Galaxy S5, las pruebas de no tardaron en aparecer y ahora, hasta lo metieron en lavadora en ciclo completo para probar su resistencia.   Someten al Galaxy S5 a dura prueba de resistencia; 1 hora bajo el agua     Luego de su salida al mercado, el nuevo telefono de Samsung llamo la    atencion por su innovacion en la resistencia al vital liquido pues le    permite al usuario sumergirlo a cierta profundidad bajo el agua.    El Galaxy S5 cuenta con certificacion ..."
"17","Se llama Della Wolf Kangro Wiley Richards y no porque su árbol genealógico esté poblado de apellidos compuestos sino porque, a efectos de registro civil, tiene tres padres, o mejor dicho, dos madres y un padre. Un cambio legal aprobado en la provincia de la Columbia Británica (Canadá) para poder adaptarse a la nueva y variada casuística familiar derivada de las técnicas de fecundación in vitroha permitido inscribir a esta niña como hija de tres padres. Su nacimiento es fruto de la decisión de u..."
"19","Corea del Norte inició este domingo ejercicios navales con fuego real en el Mar Amarillo cerca de la frontera con Corea del Sur, en lo que se considera una nueva respuesta a las maniobras militares de Seúl y Washington en la zona. Las maniobras norcoreanas comenzaron en las cercanías de la Línea Límite del Norte, [...]Leer artículo completo en: Corea del Norte inicia ejercicios navales con fuego   #La Policiaca - La Nota Roja De Mexico La Policiaca - La Nota    Roja De Mexico >> Corea del Norte..."
"21","El zoológico de Zacango es uno de los sitios de preservación de especies más importantes de México."
"24","Técnicos especializados realizaron los trabajos para clausurar la conexión ilícita y reparar el ducto afectado."
"26","llegó La Vólpe en toalla y sin ropa  Con esta historia de La Volpe pueden hacer un programa que se llame Lo que Callamos los Entrenadores. El Taco Futbolero   Más ridículo hubiera sido que llegara de frac. Melitón"
"29","Yhadira Paredes/  Xalapa, Ver.- Algunas instituciones educativas de la entidad, a través de las asociaciones de padres de familia, han optado por la instalación de cámaras de vigilancia para detectar acto de delincuencia o bullying al interior de las mismas, reconoció la presidenta de la Asociación de Padres de Familia del Estado de Veracruz, Rita María Guerra Nogueira.  Luego de que fuera aprobada hace unos días la iniciativa de reforma Educativa, donde se regula también la operación de las As..."
"30","JUZGADO DE PRIMERA INSTANCIA DE LO FAMILIAR DEL DISTRITO JUDICIAL DE GUASAVE, SINALOA EDICTO Convóquese quienes se crean con detecho al Juicio SUCESORIO INTESTAMENTARIO a bienes de C. DANTE RAFAEL VALENZUELA ESP1NOZA, deducir y justificar sus derechos hereditarios en este Juzgado deDtro término de treinla días, contados a partir de hecha la última publicación del edicto. Expediente 148/2014. ATENTAMENTE Guasave, Sin.. Ene. 31 de 2014 LAC. SECRETARÍA SEGUNDA Lic. Araceti Beltrdn Obeso FEB. 28 MZO. 10 R.No. 10143899"
"35","México, D.F.- Equipos de rescate de Libia encontraron un sobreviviente y recuperaron 74 cadáveres entre los escombros del avión de transporte militar que se estrelló en Argelia con más de 100..."
"36","El comisionado para Michoacán, Alfredo Castillo, señaló que el decomiso de hierro realizado en el Puerto de Lázaro Cárdenas representa el 44% de la producción anual de este mineral en la zona.  Asimismo, el comisionado reveló que de acuerdo con cifras del SAT, la producción anual de este mineral en la región es cercano a las 270 mil toneladas.  A: Los Caballeros Templarios, Alfonso Alzira, Canacero,"
"38","CIUDAD DE MÉXICO, 7 de marzo.- Cruz Azul buscará quebrar la inercia negativa de seis partidos que tiene sin vencer a Universidad Autónoma de Nuevo León, ampliar su racha de triunfos a nueve para colocarse a uno de la marca histórica del futbol mexicano y calificar a la Liguilla. En choque de la jornada 10 del Torneo Clausura 2014 de la Liga MX, que se realizará en el estadio Universitario a las 19:00 horas del sábado 8 de marzo del presente, Luis Enrique Santander Aguirre será el encargado de ..."
"39","Griffin has 29 points in Clippers` 111-105 victory over Celtics, and it`s pretty much just another game for Doc Rivers.This time, it was not an emotional moment for Clippers Coach Doc Rivers to face his former team."
"42","Resulta que Cookie fue una de al menos siete víctimas de ataques similares, en los que un perro muere atravesado por una flecha. Los insólitos incidentes, que tienen perpleja a la comunidad, han ocurrido todos en un barrio pudiente de Managua y parecen ser obra de gente de medios.   Edicion: Estatal | Tijuana | Ensenada | Mexicali     Resulta que Cookie fue una de al menos siete victimas de ataques    similares, en los que un perro muere atravesado por una flecha. Los    insolitos incidentes, q..."
"43","(Imágenes: Eduardo Arias). Durante estas vacaciones, turistas y paseantes disfrutan del Centró Histórico de la capital michoacana.    #La Voz de Michoacan RSS Feed La Voz de Michoacan >> DISFRUTAN DE    MORELIA RSS de los comentarios Fuerzas federales toman el control de    Huetamo Alistan Torneo Internacional de Pesca en `Zihua`     (Imagenes: Eduardo Arias). Durante estas vacaciones, turistas y    paseantes disfrutan del Centro Historico de la capital michoacana."
"45","VIENNA (Reuters) - Inflation in the euro zone will likely stay `significantly` below the European Central Bank`s target this year and next, ECB Governing Council member Ewald Nowotny said in the Austrian National Bank`s annual report."
"50","US foreign policy: Trouble abroad   Apple sees the light in push for Jetsons-style home automation   Merkel blows open race for top Brussels job    Stark warning from Europe s voters   Lagarde and Carney let fire at financial sector   Lagarde and Carney let fire at financial sector  3"
"51","http://www.milenio.com/policia/Eduardo_Quintero-abogado_del_ex_diputado_priista_en_Michoacan-Jose_Trinidad_Martinez_Pasalagua-afirmo_que_esta_cerrado_el_caso_de_su_cliente_0_280772006.html El caso de José Trinidad Martínez Pasalagua, ex diputado priista y líder de la Comisión Reguladora del Transporte en Michoacán, quien fue detenido por presuntos nexos con Los caballeros templarios, está cerrado, afirmó su abogado, Eduardo Quintero.  En entrevista radiofónica con Ciro Gómez Leyva, el abogado dijo que su cliente podría volver a ser citado a declarar, pero no bebería ser detenido nuevamente.  Ayer la Procuraduría General de la República (PGR) dejó en libertad, bajo las reservas de ley, a Martínez Pasalagua. La dependencia afirmó que el líder transportista aún es investigado por presuntos nexos con el crimen organizado."
"52","En entrevista con el fiscal general de Jalisco, Luis Carlos Nájera Gutiérrez, quien habla acerca del operativo fallido en Tlaquepaque en donde murieron las víctimas y 2 secuestradores, el fiscal hace precisión en que en lo operativos siempre se busca resguardar la vida de las víctimas. Explica la cronología de los hechos y recalca que la familia sabía que alguien conocía a las víctimas y al llevarse a cabo el operativo éstas personas fueron asesinadas, no se alcanzó a consumar el operativo."
"53","Elementos de la Fiscalía encontraron pick-up calcinada en el municipio de Jiménez, en el camino que conduce a la comunidad de `corralitos`, el vehículo tenía reporte de robo en El Paso, Texas.   Segun informo la Fiscalia, durante el dia de ayer los elementos    tuvieron conocimiento del incendio de pick-up por lo que al acudir    encontraron el automotor de cuatro puertas de la marcha Chevrolet,    modelo 2011 sin placas de circulacion.    Al revisar el numero de serie, pudieron constatar que l..."
